"","X","continent","location","month","day","year","total_cases","new_cases","total_deaths","new_deaths","total_vaccinations","people_vaccinated"
"1",1,"Asia","Afghanistan",2,24,2020,1,1,NA,NA,NA,NA
"2",2,"Asia","Afghanistan",2,25,2020,1,0,NA,NA,NA,NA
"3",3,"Asia","Afghanistan",2,26,2020,1,0,NA,NA,NA,NA
"4",4,"Asia","Afghanistan",2,27,2020,1,0,NA,NA,NA,NA
"5",5,"Asia","Afghanistan",2,28,2020,1,0,NA,NA,NA,NA
"6",6,"Asia","Afghanistan",2,29,2020,1,0,NA,NA,NA,NA
"7",7,"Asia","Afghanistan",3,1,2020,1,0,NA,NA,NA,NA
"8",8,"Asia","Afghanistan",3,2,2020,1,0,NA,NA,NA,NA
"9",9,"Asia","Afghanistan",3,3,2020,2,1,NA,NA,NA,NA
"10",10,"Asia","Afghanistan",3,4,2020,4,2,NA,NA,NA,NA
"11",11,"Asia","Afghanistan",3,5,2020,4,0,NA,NA,NA,NA
"12",12,"Asia","Afghanistan",3,6,2020,4,0,NA,NA,NA,NA
"13",13,"Asia","Afghanistan",3,7,2020,4,0,NA,NA,NA,NA
"14",14,"Asia","Afghanistan",3,8,2020,5,1,NA,NA,NA,NA
"15",15,"Asia","Afghanistan",3,9,2020,7,2,NA,NA,NA,NA
"16",16,"Asia","Afghanistan",3,10,2020,8,1,NA,NA,NA,NA
"17",17,"Asia","Afghanistan",3,11,2020,11,3,NA,NA,NA,NA
"18",18,"Asia","Afghanistan",3,12,2020,12,1,NA,NA,NA,NA
"19",19,"Asia","Afghanistan",3,13,2020,13,1,NA,NA,NA,NA
"20",20,"Asia","Afghanistan",3,14,2020,15,2,NA,NA,NA,NA
"21",21,"Asia","Afghanistan",3,15,2020,16,1,NA,NA,NA,NA
"22",22,"Asia","Afghanistan",3,16,2020,18,2,NA,NA,NA,NA
"23",23,"Asia","Afghanistan",3,17,2020,20,2,NA,NA,NA,NA
"24",24,"Asia","Afghanistan",3,18,2020,24,4,NA,NA,NA,NA
"25",25,"Asia","Afghanistan",3,19,2020,25,1,NA,NA,NA,NA
"26",26,"Asia","Afghanistan",3,20,2020,29,4,NA,NA,NA,NA
"27",27,"Asia","Afghanistan",3,21,2020,30,1,NA,NA,NA,NA
"28",28,"Asia","Afghanistan",3,22,2020,34,4,1,1,NA,NA
"29",29,"Asia","Afghanistan",3,23,2020,41,7,1,0,NA,NA
"30",30,"Asia","Afghanistan",3,24,2020,43,2,1,0,NA,NA
"31",31,"Asia","Afghanistan",3,25,2020,76,33,2,1,NA,NA
"32",32,"Asia","Afghanistan",3,26,2020,80,4,3,1,NA,NA
"33",33,"Asia","Afghanistan",3,27,2020,91,11,3,0,NA,NA
"34",34,"Asia","Afghanistan",3,28,2020,107,16,4,1,NA,NA
"35",35,"Asia","Afghanistan",3,29,2020,118,11,4,0,NA,NA
"36",36,"Asia","Afghanistan",3,30,2020,146,28,4,0,NA,NA
"37",37,"Asia","Afghanistan",3,31,2020,175,29,4,0,NA,NA
"38",38,"Asia","Afghanistan",4,1,2020,197,22,4,0,NA,NA
"39",39,"Asia","Afghanistan",4,2,2020,240,43,4,0,NA,NA
"40",40,"Asia","Afghanistan",4,3,2020,275,35,8,4,NA,NA
"41",41,"Asia","Afghanistan",4,4,2020,300,25,10,2,NA,NA
"42",42,"Asia","Afghanistan",4,5,2020,338,38,12,2,NA,NA
"43",43,"Asia","Afghanistan",4,6,2020,368,30,15,3,NA,NA
"44",44,"Asia","Afghanistan",4,7,2020,424,56,16,1,NA,NA
"45",45,"Asia","Afghanistan",4,8,2020,445,21,16,0,NA,NA
"46",46,"Asia","Afghanistan",4,9,2020,485,40,17,1,NA,NA
"47",47,"Asia","Afghanistan",4,10,2020,532,47,18,1,NA,NA
"48",48,"Asia","Afghanistan",4,11,2020,556,24,18,0,NA,NA
"49",49,"Asia","Afghanistan",4,12,2020,608,52,19,1,NA,NA
"50",50,"Asia","Afghanistan",4,13,2020,666,58,22,3,NA,NA
"51",51,"Asia","Afghanistan",4,14,2020,715,49,23,1,NA,NA
"52",52,"Asia","Afghanistan",4,15,2020,785,70,29,6,NA,NA
"53",53,"Asia","Afghanistan",4,16,2020,841,56,30,1,NA,NA
"54",54,"Asia","Afghanistan",4,17,2020,907,66,30,0,NA,NA
"55",55,"Asia","Afghanistan",4,18,2020,934,27,30,0,NA,NA
"56",56,"Asia","Afghanistan",4,19,2020,997,63,33,3,NA,NA
"57",57,"Asia","Afghanistan",4,20,2020,1027,30,36,3,NA,NA
"58",58,"Asia","Afghanistan",4,21,2020,1093,66,36,0,NA,NA
"59",59,"Asia","Afghanistan",4,22,2020,1177,84,40,4,NA,NA
"60",60,"Asia","Afghanistan",4,23,2020,1236,59,40,0,NA,NA
"61",61,"Asia","Afghanistan",4,24,2020,1331,95,43,3,NA,NA
"62",62,"Asia","Afghanistan",4,25,2020,1464,133,47,4,NA,NA
"63",63,"Asia","Afghanistan",4,26,2020,1532,68,52,5,NA,NA
"64",64,"Asia","Afghanistan",4,27,2020,1704,172,58,6,NA,NA
"65",65,"Asia","Afghanistan",4,28,2020,1830,126,59,1,NA,NA
"66",66,"Asia","Afghanistan",4,29,2020,1940,110,61,2,NA,NA
"67",67,"Asia","Afghanistan",4,30,2020,2127,187,64,3,NA,NA
"68",68,"Asia","Afghanistan",5,1,2020,2291,164,68,4,NA,NA
"69",69,"Asia","Afghanistan",5,2,2020,2470,179,72,4,NA,NA
"70",70,"Asia","Afghanistan",5,3,2020,2705,235,85,13,NA,NA
"71",71,"Asia","Afghanistan",5,4,2020,2895,190,90,5,NA,NA
"72",72,"Asia","Afghanistan",5,5,2020,3225,330,95,5,NA,NA
"73",73,"Asia","Afghanistan",5,6,2020,3393,168,104,9,NA,NA
"74",74,"Asia","Afghanistan",5,7,2020,3564,171,106,2,NA,NA
"75",75,"Asia","Afghanistan",5,8,2020,3781,217,109,3,NA,NA
"76",76,"Asia","Afghanistan",5,9,2020,4042,261,115,6,NA,NA
"77",77,"Asia","Afghanistan",5,10,2020,4403,361,120,5,NA,NA
"78",78,"Asia","Afghanistan",5,11,2020,4687,284,122,2,NA,NA
"79",79,"Asia","Afghanistan",5,12,2020,4968,281,127,5,NA,NA
"80",80,"Asia","Afghanistan",5,13,2020,5227,259,132,5,NA,NA
"81",81,"Asia","Afghanistan",5,14,2020,5640,413,136,4,NA,NA
"82",82,"Asia","Afghanistan",5,15,2020,6054,414,153,17,NA,NA
"83",83,"Asia","Afghanistan",5,16,2020,6403,349,168,15,NA,NA
"84",84,"Asia","Afghanistan",5,17,2020,6665,262,170,2,NA,NA
"85",85,"Asia","Afghanistan",5,18,2020,7073,408,173,3,NA,NA
"86",86,"Asia","Afghanistan",5,19,2020,7654,581,178,5,NA,NA
"87",87,"Asia","Afghanistan",5,20,2020,8146,492,188,10,NA,NA
"88",88,"Asia","Afghanistan",5,21,2020,8677,531,194,6,NA,NA
"89",89,"Asia","Afghanistan",5,22,2020,9219,542,206,12,NA,NA
"90",90,"Asia","Afghanistan",5,23,2020,10001,782,217,11,NA,NA
"91",91,"Asia","Afghanistan",5,24,2020,10585,584,219,2,NA,NA
"92",92,"Asia","Afghanistan",5,25,2020,11176,591,220,1,NA,NA
"93",93,"Asia","Afghanistan",5,26,2020,11834,658,221,1,NA,NA
"94",94,"Asia","Afghanistan",5,27,2020,12459,625,228,7,NA,NA
"95",95,"Asia","Afghanistan",5,28,2020,13039,580,236,8,NA,NA
"96",96,"Asia","Afghanistan",5,29,2020,13662,623,247,11,NA,NA
"97",97,"Asia","Afghanistan",5,30,2020,14528,866,250,3,NA,NA
"98",98,"Asia","Afghanistan",5,31,2020,15208,680,258,8,NA,NA
"99",99,"Asia","Afghanistan",6,1,2020,15753,545,266,8,NA,NA
"100",100,"Asia","Afghanistan",6,2,2020,16512,759,274,8,NA,NA
"101",101,"Asia","Afghanistan",6,3,2020,17270,758,298,24,NA,NA
"102",102,"Asia","Afghanistan",6,4,2020,18057,787,304,6,NA,NA
"103",103,"Asia","Afghanistan",6,5,2020,18972,915,313,9,NA,NA
"104",104,"Asia","Afghanistan",6,6,2020,19554,582,331,18,NA,NA
"105",105,"Asia","Afghanistan",6,7,2020,20345,791,361,30,NA,NA
"106",106,"Asia","Afghanistan",6,8,2020,20920,575,373,12,NA,NA
"107",107,"Asia","Afghanistan",6,9,2020,21462,542,388,15,NA,NA
"108",108,"Asia","Afghanistan",6,10,2020,22146,684,409,21,NA,NA
